,original_title,Director,Combined,overview
2218,Death Sentence,James Wan,"Kevin Bacon,Garrett Hedlund,Kelly Preston,James Wan,Action,Crime,Drama,Death Sentence","Nick Hume is a mild-mannered executive with a perfect life, until one gruesome night he witnesses something that changes him forever. Transformed by grief, Hume eventually comes to the disturbing conclusion that no length is too great when protecting his family."
2219,Everybody's Fine,Kirk Jones,"Robert De Niro,Drew Barrymore,Kate Beckinsale,Kirk Jones,Drama,Everybody's Fine","Eight months after the death of his wife, Frank Goode looks forward to a reunion with his four adult children. When all of them cancel their visits at the last minute, Frank, against the advice of his doctor, sets out on a road trip to reconnect with his offspring. As he visits each one in turn, Frank finds that his children's lives are not quite as picture-perfect as they've made them out to be."
2220,Superbabies: Baby Geniuses 2,Bob Clark,"Jon Voight,Scott Baio,Vanessa Angel,Bob Clark,Comedy,Family,Superbabies: Baby Geniuses 2","Following on from the plot of the last movie, babies can communicate with each other using 'baby talk', and have an innate knowledge of the secrets of the universe. The baby geniuses become involved in a scheme by media mogul Bill Biscane (Jon Voight). Helping the geniuses is a legendary superbaby named Kahuna. He joins up with several other babies in an attempt to stop Biscane, who intends to use a state-of-the-art satellite system to control the world's population."
2221,The Man,Les Mayfield,"Samuel L. Jackson,Eugene Levy,Luke Goss,Les Mayfield,Action,Comedy,Crime,The Man","Special Agent Derrick Vann is a man out to get the man who killed his partner but a case of mistaken identity leads him to Andy Fidler, a salesman with too many questions and a knack of getting in Vanns way"
2222,Code Name: The Cleaner,Les Mayfield,"Cedric the Entertainer,Lucy Liu,Nicollette Sheridan,Les Mayfield,Action,Comedy,Crime,Code Name: The Cleaner","Cedric the Entertainer plays Jake, a seemingly regular guy who has no idea who he is after being hit over the head by mysterious assailants. When he finds himself entangled in a government conspiracy, Jake and his pursuers become convinced that he is an undercover agent."
2223,Connie and Carla,Michael Lembeck,"Nia Vardalos,Toni Collette,David Duchovny,Michael Lembeck,Comedy,Connie and Carla","After accidentally witnessing a mafia hit in the Windy City, gal pals Connie and Carla skip town for L.A., where they go way undercover as singers working the city's dinner theater circuit ... as drag queens. Now, it's not enough that they become big hits on the scene; things get extra-weird when Connie meets Jeff -- a guy she'd like to be a woman with"
2224,Sweet Charity,Bob Fosse,"Shirley MacLaine,John McMartin,Ricardo Montalban,Bob Fosse,Comedy,Drama,Music,Sweet Charity","Taxi dancer Charity continues to have Faith in the human race despite apparently endless disappointments at its hands, and Hope that she will finally meet the nice young man to romance her away from her sleazy life. Maybe, just maybe, handsome Oscar will be the one to do it."
2225,Inherent Vice,Paul Thomas Anderson,"Joaquin Phoenix,Josh Brolin,Owen Wilson,Paul Thomas Anderson,Comedy,Romance,Crime,Inherent Vice","In Los Angeles at the turn of the 1970s, drug-fueled detective Larry ""Doc"" Sportello investigates the disappearance of an ex-girlfriend."
2226,Doogal,Frank Passingham,"Daniel Tay,Jimmy Fallon,Jon Stewart,Frank Passingham,Family,Doogal","This is the story of Doogal, an adorable candy-loving mutt who goes on a mission to save the world."
2227,Battle of the Year,Benson Lee,"Josh Holloway,Josh Peck,Chris Brown,Benson Lee,Music,Drama,Battle of the Year","A down-on-his-luck coach is hired to prepare a team of the best American dancers for an international tournament that attracts all the best crews from around the world, but the Americans haven't won in fifteen years."
2228,An American Carol,David Zucker,"Kevin Farley,Kelsey Grammer,Leslie Nielsen,David Zucker,Comedy,Fantasy,An American Carol","In An American Carol a cynical, Anti-American Hollywood filmmaker sets out on a crusade to abolish the 4th of July holiday. He is visited by three spirits who take him on a hilarious journey in an attempt to show him the true meaning of America."
2229,Machete Kills,Robert Rodriguez,"Danny Trejo,Mel Gibson,Amber Heard,Robert Rodriguez,Action,Crime,Thriller,Machete Kills",Ex-Federale agent Machete is recruited by the President of the United States for a mission which would be impossible for any mortal man – he must take down a madman revolutionary and an eccentric billionaire arms dealer who has hatched a plan to spread war and anarchy across the planet.
2230,Willard,Glen Morgan,"Crispin Glover,R. Lee Ermey,Laura Harring,Glen Morgan,Horror,Willard","Desperate for companionship, the repressed Willard befriends a group of rats that inhabit his late father's deteriorating mansion. In these furry creatures, Willard finds temporary refuge from daily abuse at the hands of his bedridden mother and his father's old partner, Frank. Soon it becomes clear that the brood of rodents is ready and willing to exact a vicious, deadly revenge on anyone who dares to bully their sensitive new master."
2231,Strange Wilderness,Fred Wolf,"Steve Zahn,Allen Covert,Jonah Hill,Fred Wolf,Comedy,Strange Wilderness","With the ratings dropping for a wilderness-themed TV show, two animal fans go to the Andes in search of Bigfoot."
2232,Topsy-Turvy,Mike Leigh,"Allan Corduner,Jim Broadbent,Timothy Spall,Mike Leigh,Comedy,Drama,Music,Topsy-Turvy","After their production ""Princess Ida"" meets with less-than-stunning reviews, the relationship between Gilbert and Sullivan is strained to breaking. Their friends and associates attempt to get the two to work together again, which opens the way to ""The Mikado,"" one of the duo's greatest successes."
2233,Little Boy,Alejandro Monteverde,"Jakob Salvati,Emily Watson,Cary-Hiroyuki Tagawa,Alejandro Monteverde,Comedy,Drama,War,Little Boy",An eight-year-old boy is willing to do whatever it takes to end World War II so he can bring his father home. The story reveals the indescribable love a father has for his little boy and the love a son has for his father.
2234,A Dangerous Method,David Cronenberg,"Keira Knightley,Viggo Mortensen,Michael Fassbender,David Cronenberg,Drama,Thriller,A Dangerous Method","Seduced by the challenge of an impossible case, the driven Dr. Carl Jung takes the unbalanced yet beautiful Sabina Spielrein as his patient. Jung’s weapon is the method of his master, the renowned Sigmund Freud. Both men fall under Sabina’s spell."
2235,A Scanner Darkly,Richard Linklater,"Keanu Reeves,Winona Ryder,Woody Harrelson,Richard Linklater,Animation,Science Fiction,Thriller,A Scanner Darkly",An undercover cop in a not-too-distant future becomes involved with a dangerous new drug and begins to lose his own identity as a result.
2236,Chasing Mavericks,Curtis Hanson,"Gerard Butler,Jonny Weston,Elisabeth Shue,Curtis Hanson,Drama,Chasing Mavericks",Surfer Jay Moriarity sets out to ride the Northern California break known as Mavericks.
2237,Alone in the Dark,Uwe Boll,"Christian Slater,Tara Reid,Stephen Dorff,Uwe Boll,Action,Fantasy,Horror,Alone in the Dark","Edward Carnby is a private investigator specializing in unexplainable supernatural phenomena. His cases delve into the dark corners of the world, searching for truth in the occult remnants of ancient civilizations. Now, the greatest mystery of his past is about to become the most dangerous case he has ever faced."
2238,Bandslam,Todd Graff,"Vanessa Hudgens,Aly Michalka,Gaelan Connell,Todd Graff,Comedy,Drama,Family,Bandslam",A high school social outcast and the popular girl bond through a shared love of music.
2239,Birth,Jonathan Glazer,"Nicole Kidman,Cameron Bright,Danny Huston,Jonathan Glazer,Drama,Mystery,Thriller,Birth","It took Anna 10 years to recover from the death of her husband, Sean, but now she's on the verge of marrying her boyfriend, Joseph, and finally moving on. However, on the night of her engagement party, a young boy named Sean turns up, saying he is her dead husband reincarnated. At first she ignores the child, but his knowledge of her former husband's life is uncanny, leading her to believe that he might be telling the truth."
2240,A Most Violent Year,J.C. Chandor,"Oscar Isaac,Jessica Chastain,Albert Brooks,J.C. Chandor,Crime,Drama,Thriller,A Most Violent Year","A thriller set in New York City during the winter of 1981, statistically one of the most violent years in the city's history, and centered on a the lives of an immigrant and his family trying to expand their business and capitalize on opportunities as the rampant violence, decay, and corruption of the day drag them in and threaten to destroy all they have built."
2241,Passchendaele,Paul Gross,"Paul Gross,Caroline Dhavernas,Joe Dinicol,Paul Gross,Drama,Romance,War,Passchendaele","Sergeant Michael Dunne fights in the 10th Battalion, AKA The ""Fighting Tenth"" with the 1st Canadian Division and participated in all major Canadian battles of the war, and set the record for highest number of individual bravery awards for a single battle"
2242,Flash of Genius,Marc Abraham,"Aaron Abrams,Alan Alda,Lauren Graham,Marc Abraham,Drama,Flash of Genius","In this David vs. Goliath drama based on a true story, college professor Robert Kearns (Greg Kinnear) goes up against the giants of the auto industry when they fail to give him credit for inventing intermittent windshield wipers. Kearns doggedly pursues recognition for his invention, as well as the much-deserved financial rewards for the sake of his wife (Lauren Graham) and six kids."
2243,I'm Not There.,Todd Haynes,"Cate Blanchett,Heath Ledger,Julianne Moore,Todd Haynes,Drama,Music,I'm Not There.","Six actors portray six personas of music legend Bob Dylan in scenes depicting various stages of his life, chronicling his rise from unknown folksinger to international icon and revealing how Dylan constantly reinvented himself."
2244,The Cold Light of Day,Mabrouk El Mechri,"Henry Cavill,Verónica Echegui,Sigourney Weaver,Mabrouk El Mechri,Action,Thriller,The Cold Light of Day","A young American uncovers a conspiracy during his attempt to save his family, that was kidnapped while on vacation in Spain."
2245,The Brothers Bloom,Rian Johnson,"Rachel Weisz,Adrien Brody,Mark Ruffalo,Rian Johnson,Adventure,Comedy,Drama,The Brothers Bloom","The Brothers Bloom are the best con men in the world, swindling millionaires with complex scenarios of lust and intrigue. Now they've decided to take on one last job – showing a beautiful and eccentric heiress the time of her life with a romantic adventure that takes them around the world."
2246,"Synecdoche, New York",Charlie Kaufman,"Philip Seymour Hoffman,Samantha Morton,Jennifer Jason Leigh,Charlie Kaufman,Drama,Synecdoche, New York","A theater director struggles with his work, and the women in his life, as he attempts to create a life-size replica of New York inside a warehouse as part of his new play."
2247,もののけ姫,Hayao Miyazaki,"Yōji Matsuda,Yuriko Ishida,Yūko Tanaka,Hayao Miyazaki,Adventure,Fantasy,Animation,もののけ姫","Ashitaka, a prince of the disappearing Ainu tribe, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict."
2248,Bon voyage,Jean-Paul Rappeneau,"Grégori Derangère,Gérard Depardieu,Isabelle Adjani,Jean-Paul Rappeneau,Comedy,Drama,Foreign,Bon voyage","Isabelle Adjani and Gerard Depardieu star in director Jean-Paul Rappenau's amusing farce set on the eve of World War II, which follows the intersecting lives of four Parisians as they cope with the impending invasion of their city by German forces. As the French government braces for impact, the lives of a young writer, a vain movie star, a French politician and a young scientist are examined as they attempt to deal with war and evade German spies."
2249,Can't Stop the Music,Nancy Walker,"Alex Briley,David Hodo,Glenn Hughes,Nancy Walker,Comedy,Music,Can't Stop the Music",Movie about the Village People filmed in a documentary style.
2250,The Proposition,John Hillcoat,"Guy Pearce,Ray Winstone,Emily Watson,John Hillcoat,Action,Adventure,Crime,The Proposition","Set in the Australian outback in the 1880s, the movie follows the series of events following the horrific rape and murder of the Hopkins family, allegedly committed by the infamous Burns brothers gang. Captain Morris Stanley captures Charlie Burns and gives him 9 days to kill his older dangerous psychopathic brother, or else they'll hang his younger mentally slow brother on Christmas Day."
2251,My All American,Angelo Pizzo,"Aaron Eckhart,Finn Wittrock,Robin Tunney,Angelo Pizzo,Drama,My All American","Freddie Steinmark, an underdog on the gridiron, faces the toughest challenge of his life after leading his team to a championship season."
2252,Marci X,Richard Benjamin,"Lisa Kudrow,Damon Wayans,Richard Benjamin,Richard Benjamin,Comedy,Marci X",A Jewish-American Princess is forced to take control of a hard-core hip-hop record label and tries to rein the one of the label's most controversial rappers.
2253,Equilibrium,Kurt Wimmer,"Christian Bale,Taye Diggs,Emily Watson,Kurt Wimmer,Action,Science Fiction,Thriller,Equilibrium","In a dystopian future, a totalitarian regime maintains peace by subduing the populace with a drug, and displays of emotion are punishable by death. A man in charge of enforcing the law rises to overthrow the system."
2254,黃石的孩子,Roger Spottiswoode,"Jonathan Rhys Meyers,Radha Mitchell,Chow Yun-fat,Roger Spottiswoode,Drama,War,黃石的孩子","About young British journalist, George Hogg, who with the assistance of a courageous Australian nurse, saves a group of orphaned children during the Japanese occupation of China in 1937."
2255,The Yards,James Gray,"Mark Wahlberg,Joaquin Phoenix,Charlize Theron,James Gray,Drama,Action,Thriller,The Yards","In the rail yards of Queens, contractors repair and rebuild the city's subway cars. These contracts are lucrative, so graft and corruption are rife. When Leo Handler gets out of prison, he finds his aunt married to Frank Olchin, one of the big contractors; he's battling with a minority-owned firm for contracts."
2256,The Oogieloves in the Big Balloon Adventure,Matthew Diamond,"Christopher Lloyd,Cary Elwes,Jaime Pressly,Matthew Diamond,Family,The Oogieloves in the Big Balloon Adventure","It's Schluufy's birthday, and the Oogieloves (Goobie, Zoozie and Toofie), along with their friends J. Edgar, Windy Window and Ruffy, are organizing a party. (Shh! It's a secret.) Everything is going along just perfectly until J. Edgar trips and loses the last five magical balloons in all of Lovelyloveville--OH NO! The Oogiloves set out to find the magical balloons in time to save their friend's party. Along the way, they meet some very interesting characters indeed, including Dotty Rounder (Cloris Leachman), Bobby Wobbly (Carey Elwes), Milky Marvin (Chazz Palminteri), Rosalie Rosebud (Toni Braxton) and Lola and Lero Sombero (Christopher Lloyd and Jaime Pressly). Can these new friends help them recover the magical balloons and get back to the cottage in time to celebrate Schluufy's surprise birthday?"
2257,By the Sea,Angelina Jolie,"Angelina Jolie,Brad Pitt,Mélanie Laurent,Angelina Jolie,Drama,Romance,By the Sea","Set in France during the mid-1970s, Vanessa, a former dancer, and her husband Roland, an American writer, travel the country together. They seem to be growing apart, but when they linger in one quiet, seaside town they begin to draw close to some of its more vibrant inhabitants, such as a local bar/café-keeper and a hotel owner."
2258,Steamboy,Katsuhiro Ōtomo,"Anne Suzuki,Masane Tsukayama,Katsuo Nakamura,Katsuhiro Ōtomo,Animation,Fantasy,Science Fiction,Steamboy","After receiving a package from his Grandfather, Rei, a young inventor living in England during the mid-19th century, has his life thrown into disarray. The package contains a ""Steam Ball"", a device of incredible power, and a letter asking him to guard it. Rei must evade capture from the nefarious ""O'Hara Foundation"" who will do anything to steal the device and use it for their own nefarious means."
2259,The Game of Their Lives,David Anspaugh,"Gerard Butler,Wes Bentley,Gavin Rossdale,David Anspaugh,Drama,The Game of Their Lives","Based on a true story, this film tells the tale of the 1950 US soccer team who, against all odds, beat England 1 - 0 in the city of Belo Horizonte, Brazil. Although no US team has yet won a World Cup title, this story is about the family traditions and passions which shaped the lives of the players who made up this team of underdogs."
2260,All Good Things,Andrew Jarecki,"Kirsten Dunst,Ryan Gosling,Kristen Wiig,Andrew Jarecki,Drama,Mystery,Thriller,All Good Things","Newly-discovered facts, court records and speculation are used to elaborate the true love story and murder mystery of the most notorious unsolved murder case in New York history."
2261,Rapa Nui,Kevin Reynolds,"Jason Scott Lee,Esai Morales,Sandrine Holt,Kevin Reynolds,Adventure,Rapa Nui",Inter-tribal rivalry leads to a competition to erect a huge statue (moai) in record time before Make can take part in the race to retrieve the egg of a Sooty Tern. The reward for winning this race is to rule the island for one year.
2262,長江七號,Stephen Chow,"Stephen Chow,Xu Jiao,Kitty Zhang Yuqi,Stephen Chow,Comedy,Drama,Family,長江七號","Ti, a really poor construction worker that struggles to keep his son, Dicky, in private school, mistakes an orb he finds in a junkjard for a toy which proves to be much, much more once the young boy starts to play with it."
2263,Les Visiteurs 2 : Les Couloirs du temps,Jean-Marie Poiré,"Christian Clavier,Jean Reno,Marie-Anne Chazel,Jean-Marie Poiré,Comedy,Fantasy,Les Visiteurs 2 : Les Couloirs du temps","The sequel to The Visitors reunites us with those lovable ruffians from the French Medieval ages who - through magic - are transported into the present, with often drastic consequences. Godefroy de Montmirail travels to today to recover the missing family jewels and a sacred relic, guarantor of his wife-to-be's fertility. The confrontation between Godefroy's repellent servant Jack the Crack and his descendent, the effete Jacquart, present-day owner of the chateau, further complicates the matter."
2264,Dylan Dog: Dead of Night,Kevin Munroe,"Brandon Routh,Peter Stormare,Sam Huntington,Kevin Munroe,Action,Comedy,Horror,Dylan Dog: Dead of Night","Supernatural private eye, Dylan Dog, seeks out the monsters of the Louisiana bayou in his signature red shirt, black jacket and blue jeans."
2265,People I Know,Daniel Algrant,"Al Pacino,Kim Basinger,Ryan O'Neal,Daniel Algrant,Drama,Thriller,People I Know",A New York press agent must scramble when his major client becomes embroiled in a huge scandal.
2266,The Tempest,Julie Taymor,"Helen Mirren,Felicity Jones,Reeve Carney,Julie Taymor,Drama,Fantasy,The Tempest","An adaptation of the play by William Shakespeare. Prospera (a female version of Shakespeare's Prospero) is the usurped ruler of Milan who has been banished to a mysterious island with her daughter. Using her magical powers, she draws her enemies to the island to exact her revenge."
2267,Regression,Alejandro Amenábar,"Ethan Hawke,Emma Watson,David Thewlis,Alejandro Amenábar,Horror,Mystery,Thriller,Regression","Minnesota, 1990. Detective Bruce Kenner investigates the case of young Angela, who accuses her father, John Gray, of an unspeakable crime. When John unexpectedly and without recollection admits guilt, renowned psychologist Dr. Raines is brought in to help him relive his memories and what they discover unmasks a horrifying nationwide mystery."
2268,三国之见龙卸甲,Daniel Lee,"Sammo Hung,Vanness Wu,Maggie Q,Daniel Lee,Action,History,Drama,三国之见龙卸甲","The aging Zhao embarks on his final and greatest campaign, a road to adventure that will crown his name in glory for all time."
2269,Butterfly on a Wheel,Mike Barker,"Pierce Brosnan,Maria Bello,Gerard Butler,Mike Barker,Crime,Drama,Thriller,Butterfly on a Wheel",A sociopathic kidnapper methodically pushes a desperate pair of parents to their absolute breaking point.
2270,Zambezia,Wayne Thornley,"Jeremy Suarez,Samuel L. Jackson,Abigail Breslin,Wayne Thornley,Comedy,Animation,Adventure,Zambezia","Set in a bustling bird city on the edge of the majestic Victoria Falls, ""Zambezia"" is the story of Kai - a naïve, but high-spirited young falcon who travels to the bird city of ""Zambezia"" where he discovers the truth about his origins and, in defending the city, learns how to be part of a community"
2271,ராமானுஜன்,Gnana Rajasekaran,"Abhinay Vaddi,Suhasini Maniratnam,Kevin McGowan,Gnana Rajasekaran,Drama,History,ராமானுஜன்",A prodigious Indian mathematician has to overcome poverty and prejudices and make a mark with the help of his British mentor.
2272,Dwegons,Tom Walsh,"Melissa Leo,Maggie Wheeler,Joey D. Vieira,Tom Walsh,Animation,Dwegons","Family inherits an old house and to their surprise, finds the home filled with wonderful colorful creatures that brings the family together."
2273,Hands of Stone,Jonathan Jakubowicz,"Robert De Niro,Edgar Ramírez,Jurnee Smollett,Jonathan Jakubowicz,Drama,Hands of Stone",The legendary Roberto Duran and his equally legendary trainer Ray Arcel change each other's lives.
2274,Survivor,James McTeigue,"Pierce Brosnan,Milla Jovovich,Dylan McDermott,James McTeigue,Thriller,Survivor","A Foreign Service Officer in London tries to prevent a terrorist attack set to hit New York, but is forced to go on the run when she is framed for crimes she did not commit."
2275,The Frozen Ground,Scott Walker,"Nicolas Cage,Vanessa Hudgens,John Cusack,Scott Walker,Thriller,Crime,The Frozen Ground",An Alaska State Trooper partners with a young woman who escaped the clutches of serial killer Robert Hansen to bring the murderer to justice. Based on actual events.
2276,The Painted Veil,John Curran,"Edward Norton,Juliet Howland,Naomi Watts,John Curran,Drama,Romance,The Painted Veil","A British medical doctor fights a cholera outbreak in a small Chinese village, while also being trapped at home in a loveless marriage to an unfaithful wife."
2277,Der Baader Meinhof Komplex,Uli Edel,"Martina Gedeck,Moritz Bleibtreu,Johanna Wokalek,Uli Edel,Action,Crime,Drama,Der Baader Meinhof Komplex","Der Baader Meinhof Komplex depicts the political turmoil in the period from 1967 to the bloody ""Deutschen Herbst"" in 1977. The movie approaches the events based on Stefan Aust's standard work on Die Rote Armee Fraktion (RAF). The story centers on the leadership of the self named anti-fascist resistance to state violence: Andreas Baader, Ulrike Meinhof and Gudrun Ensslin."
2278,Dances with Wolves,Kevin Costner,"Kevin Costner,Mary McDonnell,Graham Greene,Kevin Costner,Adventure,Drama,Western,Dances with Wolves","Wounded Civil War soldier, John Dunbar tries to commit suicide – and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe."
2279,Bad Teacher,Jake Kasdan,"Cameron Diaz,Jason Segel,Justin Timberlake,Jake Kasdan,Comedy,Bad Teacher","A lazy, incompetent middle school teacher who hates her job and her students is forced to return to her job to make enough money for a boob job after her rich fiancé dumps her."
2280,Sea of Love,Harold Becker,"Al Pacino,Ellen Barkin,John Goodman,Harold Becker,Drama,Crime,Mystery,Sea of Love","Seen-it-all New York detective Frank Keller is unsettled - he has done twenty years on the force and could retire, and he hasn't come to terms with his wife leaving him for a colleague. Joining up with an officer from another part of town to investigate a series of murders linked by the lonely hearts columns he finds he is getting seriously and possibly dangerously involved with Helen, one of the main suspects."
2281,A Cinderella Story,Mark Rosman,"Hilary Duff,Jennifer Coolidge,Chad Michael Murray,Mark Rosman,Comedy,A Cinderella Story","Sam Montgomery is a tomboyish, unpopular girl at school. She has been text messaging a somebody named Nomad for a few months and he asks her to meet him at the Halloween dance at 11:00 in the middle of the dance floor. The only problem is, she must get back to the diner, ran by her wicked Stepmom Fiona by 12 sharp because she is not supposed to be there. Before Nomad can found out who she is, she must leave with her best friend, Carter driving her back to the diner. After that night, everything in Sam's life goes wacko!"
2282,Scream,Wes Craven,"David Arquette,Neve Campbell,Courteney Cox,Wes Craven,Crime,Horror,Mystery,Scream","A killer known as Ghostface begins killing off teenagers, and as the body count begins rising, one girl and her friends find themselves contemplating the 'rules' of horror films as they find themselves living in a real-life one."
2283,Thir13en Ghosts,Steve Beck,"Tony Shalhoub,Embeth Davidtz,Matthew Lillard,Steve Beck,Horror,Thriller,Thir13en Ghosts","Arthur and his two children, Kathy and Bobby, inherit his Uncle Cyrus's estate: a glass house that serves as a prison to 12 ghosts. When the family, accompanied by Bobby's Nanny and an attorney, enter the house they find themselves trapped inside an evil machine ""designed by the devil and powered by the dead"" to open the Eye of Hell. Aided by Dennis, a ghost hunter, and his rival Kalina, a ghost rights activist out to set the ghosts free, the group must do what they can to get out of the house alive."
2284,The Shining,Stanley Kubrick,"Jack Nicholson,Shelley Duvall,Danny Lloyd,Stanley Kubrick,Horror,Thriller,The Shining","Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within."
2285,Back to the Future,Robert Zemeckis,"Michael J. Fox,Christopher Lloyd,Lea Thompson,Robert Zemeckis,Adventure,Comedy,Science Fiction,Back to the Future","Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985."
2286,House on Haunted Hill,William Malone,"Geoffrey Rush,Famke Janssen,Taye Diggs,William Malone,Horror,Mystery,Thriller,House on Haunted Hill","A remake of the 1959 film of the same name. A millionaire offers a group of diverse people $1,000,000 to spend the night in a haunted house with a horrifying past."
2287,I Can Do Bad All By Myself,Tyler Perry,"Tyler Perry,Taraji P. Henson,Adam Rodríguez,Tyler Perry,Drama,Comedy,I Can Do Bad All By Myself","When Madea catches sixteen-year-old Jennifer and her two younger brothers looting her home, she decides to take matters into her own hands and delivers the young delinquents to the only relative they have: their aunt April. A heavy-drinking nightclub singer who lives off of Raymond, her married boyfriend, April wants nothing to do with the kids."
2288,Fight Valley,Rob Hawk,"Erin O'Brien,Miesha Tate,Holly Holm,Rob Hawk,Action,Drama,Fight Valley","When Tory Coro turns up dead, the neighborhood turns up silent. Rumor has it she became yet another victim of the small town known as FIGHT VALLEY. Tory's sister Windsor moves to town to begin her own investigation on her sister's mysterious death after weeks of no leads from the police. She's quick to learn that Tory fought for money to make ends meet. If girl-next-door Windsor is going to make her way into FIGHT VALLEY to find the truth about Tory, she's going to have to fight her way in. ""Jabs"" (Miesha Tate) swore she would never throw a punch in the Valley again. Jabs now finds herself training Windsor to survive the painful, unexpected path she's about to take. Every corner. Every alley. Every doorway. She must follow the last footsteps of her sister in order to come face-to-face with Tory's killer in FIGHT VALLEY."
2289,The Switch,Josh Gordon,"Jason Bateman,Jennifer Aniston,Jeff Goldblum,Josh Gordon,Comedy,Romance,Drama,The Switch","An unmarried 40-year-old woman turns to a turkey baster in order to become pregnant. Seven years later, she reunites with her best friend, who has been living with a secret: he replaced her preferred sperm sample with his own."
2290,Just Married,Shawn Levy,"Ashton Kutcher,Brittany Murphy,Christian Kane,Shawn Levy,Comedy,Just Married","Tom Leezak and Sarah McNerney fall in love and plan to get married, despite opposition from Sarah's uptight, rich family. When they do get married, and get a chance to prove Sarah's family wrong, they go on a European honeymoon and run into disaster after disaster. They have to decide whether the honeymoon from hell and a few pre-marital mistakes are worth throwing away their love and marriage."
2291,The Devil's Double,Lee Tamahori,"Dominic Cooper,Ludivine Sagnier,Raad Rawi,Lee Tamahori,Drama,Action,Thriller,The Devil's Double",A chilling vision of the House of Saddam Hussein comes to life through the eyes of the man who was forced to become the double of Hussein's sadistic son.
2292,Thomas and the Magic Railroad,Britt Allcroft,"Alec Baldwin,Peter Fonda,Mara Wilson,Britt Allcroft,Animation,Drama,Family,Thomas and the Magic Railroad","Mr. Conductor's supply of magic gold dust, which allows him to travel between Shining Time and Thomas's island, is critically low. Unfortunately, he doesn't know how to get more. Meanwhile, Thomas is fending off attacks by the nasty diesel engines. Getting more gold dust will require help from Mr. C's slacker cousin, his new friend Lily and her morose grandfather, plus the secret engine."
2293,The Crazies,Breck Eisner,"Timothy Olyphant,Radha Mitchell,Joe Anderson,Breck Eisner,Mystery,Horror,Action,The Crazies",Four friends find themselves trapped in their small hometown after they discover their friends and neighbors going quickly and horrifically insane.
2294,千と千尋の神隠し,Hayao Miyazaki,"Rumi Hiiragi,Miyu Irino,Mari Natsuki,Hayao Miyazaki,Fantasy,Adventure,Animation,千と千尋の神隠し",A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?
2295,風暴,Alan Yuen,"Andy Lau,Gordon Lam Ka-Tung,Yao Chen,Alan Yuen,Action,Crime,風暴","A crew of seasoned criminals led by the notorious Nam, armed with high-powered weapons, pulls off another smooth and violent armored car heist in broad daylight in a crowded street. Whoever tries to get in their way, they will show no mercy. This puts the police force to shame and humiliation. A hardboiled senior police inspector Lui, hot on the trails of Nam and his tight crew, determines to put an end to this madness that causes the lives of innocent people. But he soon comes face to face with the cruel reality that the usual police tactics are too futile to send these armed thieves behind bars. Extreme crime requires extreme justice, even if it means crossing his moral line. Tou, an ex-con desperate to leave his criminal past behind, volunteers to be Lui’s snitch in exchange for a fresh start with her girlfriend Bing. But little does he know what hellish situation he’s getting himself into."
2296,The Bounty,Roger Donaldson,"Mel Gibson,Anthony Hopkins,Laurence Olivier,Roger Donaldson,Action,Drama,History,The Bounty","The familiar story of Lieutenant Bligh, whose cruelty leads to a mutiny on his ship. This version follows both the efforts of Fletcher Christian to get his men beyond the reach of British retribution, and the epic voyage of Lieutenant Bligh to get his loyalists safely to East Timor in a tiny lifeboat."
2297,The Book Thief,Brian Percival,"Geoffrey Rush,Sophie Nélisse,Emily Watson,Brian Percival,Drama,The Book Thief","While subjected to the horrors of WWII Germany, young Liesel finds solace by stealing books and sharing them with others. Under the stairs in her home, a Jewish refuge is being sheltered by her adoptive parents."
2298,Sex Drive,Sean Anders,"Josh Zuckerman,Amanda Crew,Clark Duke,Sean Anders,Comedy,Adventure,Romance,Sex Drive",A high school senior drives cross-country with his best friends to hook up with a babe he met online.
2299,Leap Year,Anand Tucker,"Amy Adams,Matthew Goode,Adam Scott,Anand Tucker,Romance,Comedy,Leap Year","When yet another anniversary passes without a marriage proposal from her boyfriend, Anna decides to take action. Aware of a Celtic tradition that allows women to pop the question on Feb. 29, she plans to follow her lover to Dublin and ask him to marry her. Fate has other plans, however, and Anna winds up on the other side of the Emerald Isle with handsome, but surly, Declan -- an Irishman who may just lead Anna down the road to true love."
2300,The Fall of the Roman Empire,Anthony Mann,"Sophia Loren,Stephen Boyd,Alec Guinness,Anthony Mann,Drama,History,The Fall of the Roman Empire","Drawn from the same events that later inspired Gladiator, the film charts the power-hungry greed and father-son betrayal that led to Rome's collapse at the bloody hands of the Barbarians."
